Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),7JRBR0FL9N,179428343,2022,VOLVO,S60,Passenger,22,Used,Registration Renewal,July 29 2022,2022,King,SEATTLE,WA,98144
Battery Electric Vehicle (BEV),1FTBW3XK6R,267804099,2024,FORD,Transit,Commercial,0,New,Original Registration,June 07 2024,2024,King,SEATTLE,WA,98105
Battery Electric Vehicle (BEV),WA1VABGE3P,238661160,2023,AUDI,e-tron,Passenger,0,New,Original Registration,May 09 2023,2023,Thurston,OLYMPIA,WA,98516
Plug-in Hybrid Electric Vehicle (PHEV),WP0CE2A78J,229515884,2018,PORSCHE,Panamera,Passenger,16,Used,Transfer Title,January 23 2020,2020,King,SEATTLE,WA,98105
Plug-in Hybrid Electric Vehicle (PHEV),1C4RJYC65N,227269129,2022,JEEP,Grand Cherokee,Passenger,25,Used,Registration Renewal,November 29 2023,2023,Kitsap,BAINBRIDGE ISLAND,WA,98110
Plug-in Hybrid Electric Vehicle (PHEV),4JGDA6DB2J,128812302,2018,MERCEDES-BENZ,GLE-Class,Passenger,8,Used,Registration Renewal,October 05 2021,2021,King,MERCER ISLAND,WA,98040
Battery Electric Vehicle (BEV),3FMTK1R41P,258308508,2023,FORD,Mustang Mach-E,Passenger,0,New,Original Title,November 30 2023,2023,Thurston,LACEY,WA,98516
Battery Electric Vehicle (BEV),WAUEJBFW6P,233661690,2023,AUDI,e-tron GT,Passenger,0,New,Original Title,March 15 2023,2023,King,ISSAQUAH,WA,98027
Battery Electric Vehicle (BEV),5YJSA1AC5D,219508838,2013,TESLA,Model S,Passenger,208,Used,Registration Renewal,May 16 2016,2016,King,SAMMAMISH,WA,98074
Plug-in Hybrid Electric Vehicle (PHEV),YV4BR0PK5J,156820324,2018,VOLVO,XC90,Passenger,19,Used,Registration at time of Transfer,January 24 2022,2022,King,BELLEVUE,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),7JRBK0FP8L,122366863,2020,VOLVO,S60,Passenger,22,Used,Transfer Title,June 27 2024,2024,King,BELLEVUE,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),YV4H60DX1P,260061441,2023,VOLVO,XC60,Passenger,35,New,Original Title,November 22 2023,2023,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),5YJXCDE48H,329160898,2017,TESLA,Model X,Passenger,200,Used,Registration Renewal,February 13 2018,2018,King,BELLEVUE,WA,98006
Battery Electric Vehicle (BEV),5YJXCBE48L,251270358,2020,TESLA,Model X,Passenger,293,Used,Original Title,August 25 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJRE1A10A,112555467,2010,TESLA,Roadster,Passenger,245,Used,Registration Renewal,June 20 2023,2023,King,SEATTLE,WA,98102
Battery Electric Vehicle (BEV),YSMFG3KA7R,252425757,2024,POLESTAR,PS2,Passenger,0,New,Original Registration,September 26 2023,2023,King,SEATTLE,WA,98112
Battery Electric Vehicle (BEV),WA13CBGEXN,207060990,2022,AUDI,e-tron Sportback,Passenger,0,New,Original Registration,June 21 2022,2022,King,ISSAQUAH,WA,98027
Plug-in Hybrid Electric Vehicle (PHEV),55SWF4HB4H,219097035,2017,MERCEDES-BENZ,C-Class,Passenger,8,Used,Original Registration,October 11 2022,2022,King,SEATTLE,WA,98105
Battery Electric Vehicle (BEV),WA1VABGE0N,207300383,2022,AUDI,e-tron,Passenger,0,Used,Registration Renewal,April 15 2024,2024,King,SEATTLE,WA,98112
Plug-in Hybrid Electric Vehicle (PHEV),1G1RG6E44C,151650285,2012,CHEVROLET,Volt,Passenger,35,Used,Registration at time of Transfer,February 14 2023,2023,King,SEATTLE,WA,98136
Battery Electric Vehicle (BEV),KMHM24AA5R,265164308,2024,HYUNDAI,Ioniq 6,Passenger,0,New,Original Title,May 09 2024,2024,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),KNAGV4LD0L,478909070,2020,KIA,Optima,Passenger,28,New,Original Registration,October 18 2019,2019,King,SEATTLE,WA,98105
Plug-in Hybrid Electric Vehicle (PHEV),YV4H600A2P,227306243,2023,VOLVO,XC90,Passenger,32,New,Original Title,January 05 2023,2023,King,RENTON,WA,98056
Battery Electric Vehicle (BEV),KNDC44LA5N,239993904,2022,KIA,EV6,Passenger,0,Used,Registration Renewal,June 03 2024,2024,Clark,CAMAS,WA,98607
Plug-in Hybrid Electric Vehicle (PHEV),WAUSPBFF5H,255618989,2017,AUDI,A3,Passenger,16,New,Original Title,July 07 2017,2017,King,SEATTLE,WA,98112
Plug-in Hybrid Electric Vehicle (PHEV),LREKK5RX3J,207104460,2018,CADILLAC,CT6,Passenger,31,Used,Registration Renewal,May 17 2022,2022,King,BELLEVUE,WA,98006
Plug-in Hybrid Electric Vehicle (PHEV),2C4RC1N7XN,204991783,2022,CHRYSLER,Pacifica,Passenger,32,New,Original Registration,June 16 2022,2022,King,AUBURN,WA,98002
Battery Electric Vehicle (BEV),1G1FX6S0XK,275613579,2019,CHEVROLET,Bolt EV,Passenger,238,New,Original Registration,December 12 2019,2019,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),7JRH60FMXR,260206922,2024,VOLVO,S60,Passenger,41,New,Original Title,January 12 2024,2024,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),KNDCC3LD0N,185375284,2022,KIA,Niro,Passenger,26,New,Original Title,November 29 2021,2021,King,SEATTLE,WA,98118
Battery Electric Vehicle (BEV),1FTBW1YKXP,262392287,2023,FORD,Transit,Exempt (State/County/Local/Tribal),0,New,Original Title,December 13 2023,2023,Clark,VANCOUVER,WA,98665
